Comment[SPOT_ID]	Comment[CONTROL_TYPE]	Comment[ORF]	Comment[GENE_NAME]	Comment[ACCESSION_STRING]	Reporter Comment
cmr|ECs2641|asap|ACA-0132627	FALSE			cmr|ECs2641|asap|ACA-0132627	putative tail protein [ECs2641]
	FALSE	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase	cmr|c_0129|asap|ABR-0076194	AmpD protein [c_0129]
	FALSE	talA	transaldolase A	cmr|b2464|asap|ABE-0008115	transaldolase A [b2464]
cmr|c_1519|asap|ABR-0077627	FALSE			cmr|c_1519|asap|ABR-0077627	Prophage lambda integrase [c_1519]
	FALSE	yjjM	predicted DNA-binding transcriptional regulator	cmr|b4357|asap|ABE-0014287	orf, hypothetical protein [b4357]
	FALSE	yicL	Hypothetical transport protein yicL	cmr|c_4582|asap|ABR-0080765	Hypothetical transport protein yicL [c_4582]
	FALSE	yohG	multidrug resistance outer membrane protein MdtQ	cmr|Z3387|asap|ABH-0027107	putative outer membrane protein [Z3387]
	FALSE	Z3074	putative tail fiber protein of prophage CP-933U	cmr|Z3074|cmr|Z1382|cmr|Z6027|cmr|Z0982	putative tail fiber protein of prophage CP-933U [Z3074]
	FALSE	yjhS	conserved protein	cmr|b4309|asap|ABE-0014130	orf, hypothetical protein [b4309]
	FALSE	Z4271	putative ATP-binding protein of ABC transport system	cmr|Z4271|asap|ABH-0027944	putative ATP-binding protein of ABC transport system [Z4271]
cmr|c_4727|asap|ABR-0080923	FALSE			cmr|c_4727|asap|ABR-0080923	Hypothetical protein [c_4727]
	FALSE	ECs4588	Ler	cmr|ECs4588|asap|ACA-0134666	Ler protein [ECs4588]
	FALSE	ansP	L-asparagine permease	cmr|Z2266|asap|ABH-0026040	L-asparagine permease [Z2266]
	FALSE	ECs3745	peptidase	cmr|ECs3745|asap|ACA-0133787	putative deacetylase [ECs3745]
cmr|c_1204|asap|ABR-0077299	FALSE			cmr|c_1204|asap|ABR-0077299	Conserved hypothetical protein [c_1204]
	FALSE	topB	DNA topoisomerase III	cmr|b1763|asap|ABE-0005869	DNA topoisomerase III [b1763]
	FALSE	ECs2632	hypothetical protein	cmr|ECs2632|asap|ACA-0132616	hypothetical protein [ECs2632]
	FALSE	cspG	DNA-binding transcriptional regulator	cmr|b0990|asap|ABE-0003346	homolog of Salmonella cold shock protein [b0990]
	FALSE	ECs2280	hypothetical protein	cmr|ECs2280|asap|ACA-0132260	hypothetical protein [ECs2280]
	FALSE	ansP	L-asparagine transporter	cmr|b1453|asap|ABE-0004845	L-asparagine permease [b1453]
	FALSE	rplI	50S ribosomal subunit protein L9	cmr|b4203|asap|ABE-0013746	50S ribosomal subunit protein L9 [b4203]
	FALSE	Z5114	hypothetical protein	cmr|Z5114|asap|ABH-0028756	orf Unknown function [Z5114]
	FALSE	rhsB	rhsB element core protein RshB	cmr|b3482|asap|ABE-0011371	rhsB protein in rhs element [b3482]
	FALSE	dacB	D-alanyl-D-alanine carboxypeptidase	cmr|b3182|asap|ABE-0010458	D-alanyl-D-alanine carboxypeptidase, fraction B; penicillin-binding protein 4 [b3182]
	FALSE	ECs2849	putative colanic acid biosynthesis glycosyl transferase	cmr|ECs2849|asap|ACA-0132854	putative colanic acid biosynthesis glycosyl transferase [ECs2849]
	FALSE	ugpE	glycerol-3-phosphate transporter membrane protein	cmr|c_4240|asap|ABR-0080416	SN-glycerol-3-phosphate transport system permease protein ugpE [c_4240]
	FALSE	mdtH	predicted drug efflux system	cmr|b1065|asap|ABE-0003618	orf, hypothetical protein [b1065]
	FALSE	gcvT	aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex	cmr|b2905|asap|ABE-0009536	aminomethyltransferase [b2905]
cmr|ECs1066|asap|ACA-0130981	FALSE			cmr|ECs1066|asap|ACA-0130981	hypothetical protein [ECs1066]
	FALSE	ECs3794	arginine exporter protein	cmr|ECs3794|asap|ACA-0133837	hypothetical protein [ECs3794]
	FALSE	ECs3250	hypothetical protein	cmr|ECs3250|asap|ACA-0133262	hypothetical protein [ECs3250]
cmr|c_3572|asap|ABR-0079735	FALSE			cmr|c_3572|asap|ABR-0079735	Hypothetical protein [c_3572]
	FALSE	Z1337	unknown protein encoded by cryptic prophage CP-933M	cmr|Z1337|asap|ABH-0025152	unknown protein encoded by cryptic prophage CP-933M [Z1337]
	FALSE	ygeH	predictedtranscriptional regulator	cmr|b2852|asap|ABE-0009368	putative invasion protein [b2852]
cmr|ECs0355|asap|ACA-0130246	FALSE			cmr|ECs0355|asap|ACA-0130246	putative invertase [ECs0355]
	FALSE	fucK	L-fuculokinase	cmr|b2803|asap|ABE-0009191	L-fuculokinase [b2803]
cmr|c_4765|asap|ABR-0080961	FALSE			cmr|c_4765|asap|ABR-0080961	Hypothetical protein yahG [c_4765]
	FALSE	ECs2970	hypothetical protein	cmr|ECs2970|cmr|ECs1211|asap|ACA-0132977|asap|ACA-0131138	hypothetical protein [ECs2970]
	FALSE	betT	choline transport protein BetT	cmr|Z0401|asap|ABH-0024289	high-affinity choline transport [Z0401]
	FALSE	ECs4427	putative fimbrial protein precursor	cmr|ECs4427|asap|ACA-0134500	putative fimbrial protein precursor [ECs4427]
cmr|c_5032|asap|ABR-0081240	FALSE			cmr|c_5032|asap|ABR-0081240	2-oxoglutarate dehydrogenase E1 component [c_5032]
	FALSE	rpmE2	50S ribosomal protein L31 type B	cmr|Z0364|asap|ABH-0024250	putative ribosomal protein [Z0364]
	FALSE	araA	L-arabinose isomerase	cmr|b0062|asap|ABE-0000221	L-arabinose isomerase [b0062]
--(+)E1A_r60_3	pos				
cmr|c_0006|asap|ABR-0076066	FALSE			cmr|c_0006|asap|ABR-0076066	Hypothetical protein [c_0006]
	FALSE	ybhQ	predicted inner membrane protein	cmr|b0791|asap|ABE-0002699	orf, hypothetical protein [b0791]
	FALSE	ECs2221	putative transposase	cmr|ECs2221|asap|ACA-0132197	putative transposase [ECs2221]
	FALSE	csgD	DNA-binding transcriptional activator in two-component regulatory system	cmr|b1040|asap|ABE-0003530	putative 2-component transcriptional regulator for 2nd curli operon [b1040]
cmr|c_3240|asap|ABR-0079390	FALSE			cmr|c_3240|asap|ABR-0079390	Hypothetical protein [c_3240]
	FALSE	rfaQ	lipopolysaccharide core biosynthesis protein	cmr|b3632|asap|ABE-0011870	lipopolysaccharide core biosynthesis [b3632]
	FALSE	ECs1206	Shiga toxin 2 subunit B	cmr|ECs1206|asap|ACA-0131131	Shiga toxin 2 subunit B [ECs1206]
cmr|c_4525|asap|ABR-0080707	FALSE			cmr|c_4525|asap|ABR-0080707	Putative chormophorylate of CpcA [c_4525]
	FALSE	ECs0831	hypothetical protein	cmr|ECs0831|asap|ACA-0130742	hypothetical protein [ECs0831]
	FALSE	hisI	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein	cmr|Z3188|asap|ABH-0026912	phosphoribosyl-amp cyclohydrolase phosphoribosyl-ATP pyrophosphatase [Z3188]
	FALSE	Z5415	hypothetical protein	cmr|Z5415|asap|ABH-0029023	orf Unknown function [Z5415]
cmr|c_3193|asap|ABR-0079342	FALSE			cmr|c_3193|asap|ABR-0079342	Hypothetical protein [c_3193]
	FALSE	ECs0284	DNA-invertase	cmr|ECs0284|asap|ACA-0130173	DNA-invertase [ECs0284]
cmr|c_0133|asap|ABR-0076198	FALSE			cmr|c_0133|asap|ABR-0076198	Hypothetical protein [c_0133]
	FALSE	poxB	pyruvate dehydrogenase	cmr|c_1004|asap|ABR-0077095	Pyruvate dehydrogenase [c_1004]
	FALSE	Z2828	hypothetical protein	cmr|Z2828|asap|ABH-0026581	orf, hypothetical protein [Z2828]
	FALSE	ptsP	fused phosphoenolpyruvate-protein phosphotransferase PtsP/GAF domain	cmr|c_3424|asap|ABR-0079582	Phosphoenolpyruvate-protein phosphotransferase ptsP [c_3424]
cmr|c_0119|cmr|c_0232|asap|ABR-0076184|asap|ABR-0076298	FALSE			cmr|c_0119|cmr|c_0232|asap|ABR-0076184|asap|ABR-0076298	Putative Transposase insK for insertion sequence element [c_0119]
	FALSE	yrbL	hypothetical protein	cmr|Z4570|asap|ABH-0028240	orf, hypothetical protein [Z4570]
	FALSE	ydjZ	conserved inner membrane protein	cmr|b1752|asap|ABE-0005837	orf, hypothetical protein [b1752]
	FALSE	ribE	riboflavin synthase beta chain	cmr|b0415|asap|ABE-0001444	riboflavin synthase, beta chain [b0415]
	FALSE	ECs2358	hypothetical protein	cmr|ECs2358|asap|ACA-0132338	hypothetical protein [ECs2358]
	FALSE	yafM	hypothetical protein	cmr|Z0288|asap|ABH-0024176	orf, hypothetical protein [Z0288]
	FALSE	yjhC	KpLE2 phage-like element; predicted oxidoreductase	cmr|b4280|asap|ABE-0014027	putative dehydrogenase [b4280]
	FALSE	fdoH	formate dehydrogenase-O, Fe-S subunit	cmr|b3893|asap|ABE-0012708	formate dehydrogenase-O, iron-sulfur subunit [b3893]
cmr|c_0205|asap|ABR-0076270	FALSE			cmr|c_0205|asap|ABR-0076270	Hypothetical protein [c_0205]
cmr|ECs0308|asap|ACA-0130198	FALSE			cmr|ECs0308|asap|ACA-0130198	hypothetical protein [ECs0308]
	FALSE	prfB	peptide chain release factor RF-2	cmr|b2891|asap|ABE-0009488	peptide chain release factor RF-2 [b2891]
--(+)eQC-41	pos				
	FALSE	ECs1304	hypothetical protein	cmr|ECs1304|asap|ACA-0131234	hypothetical protein [ECs1304]
	FALSE	Z1483	putative tail fiber protein of bacteriophage BP-933W	cmr|Z1483|cmr|Z2340|asap|ABH-0025292|asap|ABH-0026110	putative tail fiber protein of bacteriophage BP-933W [Z1483]
	FALSE	yhfK	conserved inner membrane protein	cmr|b3358|asap|ABE-0010974	orf, hypothetical protein [b3358]
cmr|c_1892|asap|ABR-0078010	FALSE			cmr|c_1892|asap|ABR-0078010	Hypothetical protein [c_1892]
	FALSE	yebA	predicted peptidase	cmr|b1856|asap|ABE-0006189	orf, hypothetical protein [b1856]
	FALSE	ECs0126	hypothetical protein	cmr|ECs0126|asap|ACA-0130005	hypothetical protein [ECs0126]
	FALSE	ydfP	Hypothetical protein ydfP precursor	cmr|c_3179|asap|ABR-0079328	Hypothetical protein ydfP precursor [c_3179]
	FALSE	ybiA	conserved protein	cmr|b0798|asap|ABE-0002722	orf, hypothetical protein [b0798]
	FALSE	Z4187	type III secretion apparatus protein	cmr|Z4187|asap|ABH-0027859	type III secretion apparatus protein [Z4187]
	FALSE	dppB	dipeptide transporter	cmr|b3543|asap|ABE-0011572	dipeptide transport system permease protein 1 [b3543]
	FALSE	folD	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	cmr|c_0645|asap|ABR-0076720	FolD bifunctional protein [c_0645]
	FALSE	ECs1577	Icd-like protein	cmr|ECs1577|asap|ACA-0131526	Icd-like protein [ECs1577]
	FALSE	crcB	predicted inner membrane protein associated with chromosome condensation	cmr|b0624|asap|ABE-0002144	orf, hypothetical protein [b0624]
	FALSE	yobD	conserved inner membrane protein	cmr|b1820|asap|ABE-0006062	orf, hypothetical protein [b1820]
	FALSE	yahO	predicted protein	cmr|b0329|asap|ABE-0001130	orf, hypothetical protein [b0329]
	FALSE	ECs1400	hypothetical protein	cmr|ECs1400|asap|ACA-0131346	hypothetical protein [ECs1400]
	FALSE	yhbC	conserved protein	cmr|b3170|asap|ABE-0010417	orf, hypothetical protein [b3170]
	FALSE	yegH	Hypothetical protein yegH	cmr|c_2590|asap|ABR-0078724	Hypothetical protein yegH [c_2590]
	FALSE	msyB	hypothetical protein	cmr|c_1318|cmr|c_1317|asap|ABR-0077422|asap|ABR-0077421	Acidic protein msyB [c_1318]
	FALSE	ppiD	peptidyl-prolyl cis-trans isomerase (rotamase D)	cmr|b0441|asap|ABE-0001531	putative protease maturation protein [b0441]
	FALSE	sufA	Fe-S cluster assembly protein	cmr|b1684|asap|ABE-0005624	orf, hypothetical protein [b1684]
	FALSE	ECs5253	putative integrase	cmr|ECs5253|asap|ACA-0135372	putative integrase [ECs5253]
	FALSE	ECs3999	DNA-binding transcriptional activator TdcR	cmr|ECs3999|asap|ACA-0134057	threonine dehydratase operon activator protein [ECs3999]
	FALSE	ECs1583	hypothetical protein	cmr|ECs1583|asap|ACA-0131532	hypothetical protein [ECs1583]
	FALSE	ECs1666	putative transposase	cmr|ECs1666|cmr|ECs1208|cmr|ECs1918|cmr|ECs2219	putative transposase OrfB protein of insertion sequence IS629 [ECs1666]
cmr|b0359|asap|ABE-0001232	FALSE			cmr|b0359|asap|ABE-0001232	putative transferase [b0359]
	FALSE	ygfJ	hypothetical protein	cmr|Z4216|asap|ABH-0027888	orf, hypothetical protein [Z4216]
	FALSE	nudJ	bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase	cmr|b1134|asap|ABE-0003818	putative phosphohydrolase [b1134]
	FALSE	mltD	predicted membrane-bound lytic murein transglycosylase D	cmr|b0211|asap|ABE-0000704	transcriptional regulator for nitrite reductase [b0211]
cmr|b3015|asap|ABE-0174099	FALSE			cmr|b3015|asap|ABE-0174099	orf, hypothetical protein [b3015]
	FALSE	flhA	predicted flagellar export pore protein	cmr|b1879|asap|ABE-0006272	flagellar biosynthesis; possible export of flagellar proteins [b1879]
	FALSE	ypdI	Hypothetical lipoprotein ypdI precursor	cmr|c_2912|asap|ABR-0079050	Hypothetical lipoprotein ypdI precursor [c_2912]
	FALSE	ECs4297	glycerol-3-phosphate transporter membrane protein	cmr|ECs4297|asap|ACA-0134369	integral membrane protein of sn-glycerol 3-phosphate transport system [ECs4297]
	FALSE	ilvI	acetolactate synthase III, large subunit	cmr|b0077|asap|ABE-0000290	acetolactate synthase III, valine sensitive, large subunit [b0077]
	FALSE	yceG	predicted aminodeoxychorismate lyase	cmr|b1097|asap|ABE-0003712	putative thymidylate kinase [b1097]
	FALSE	ispA	geranyltranstransferase	cmr|b0421|asap|ABE-0001463	geranyltranstransferase [b0421]
	FALSE	fixA	predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	cmr|b0041|asap|ABE-0000145	probable flavoprotein subunit, carnitine metabolism [b0041]
	FALSE	Z1433	unknown protein encoded by bacteriophage BP-933W	cmr|Z1433|cmr|Z3369|cmr|Z0949|asap|ABH-0025246	unknown protein encoded by bacteriophage BP-933W [Z1433]
	FALSE	Z3354	putative exclusion protein ren of prophage CP-933V	cmr|Z3354|asap|ABH-0027074	putative exclusion protein ren of prophage CP-933V [Z3354]
	FALSE	torS	hybrid sensory histidine kinase in two-component regulatory system with TorR	cmr|b0993|asap|ABE-0003354	sensor protein torS [b0993]
	FALSE	yncH	predicted protein	cmr|b1455|asap|ABE-0004855	orf, hypothetical protein [b1455]
	FALSE	ECs1349	hypothetical protein	cmr|ECs1349|asap|ACA-0131287	hypothetical protein [ECs1349]
	FALSE	ybbY	predicted uracil/xanthine transporter	cmr|b0513|asap|ABE-0001771	putative transport [b0513]
	FALSE	rnpA	protein C5 component of RNase P	cmr|b3704|asap|ABE-0012117	RNase P, protein component; protein C5; processes tRNA, 4.5S RNA [b3704]
--(+)E1A_r60_a135	pos				
	FALSE	cld	regulator of length of O-antigen component of lipopolysaccharide chains	cmr|b2027|asap|ABE-0006731	regulator of length of O-antigen component of lipopolysaccharide chains [b2027]
	FALSE	ynbA	predicted inner membrane protein	cmr|b1408|asap|ABE-0004704	probable enzyme [b1408]
cmr|c_3772|asap|ABR-0079943	FALSE			cmr|c_3772|asap|ABR-0079943	Putative iron compound permease protein of ABC [c_3772]
--RC6	pos				
	FALSE	ECs5233	hypothetical protein	cmr|ECs5233|asap|ACA-0135350	hypothetical protein [ECs5233]
	FALSE	atpG	F1 sector of membrane-bound ATP synthase, gamma subunit	cmr|b3733|asap|ABE-0012211	membrane-bound ATP synthase, F1 sector, gamma-subunit [b3733]
	FALSE	Z4802	putative ATP-dependent DNA helicase (together with adjacent 3 orfs)	cmr|Z4802|asap|ABH-0028456	putative ATP-dependent DNA helicase [Z4802]
	FALSE	uidC	predicted outer membrane porin protein	cmr|b1615|asap|ABE-0005405	membrane-associated protein [b1615]
	FALSE	shiF	shiF protein	cmr|c_3628|asap|ABR-0079797	shiF protein [c_3628]
	FALSE	Z2399	putative regulatory protein Cro of prophage CP-933R	cmr|Z2399|asap|ABH-0026163	putative regulatory protein Cro of prophage CP-933R [Z2399]
	FALSE	ycgZ	Hypothetical protein ycgZ	cmr|c_1607|asap|ABR-0077718	Hypothetical protein ycgZ [c_1607]
	FALSE	ECs4944	putative DNA-binding protein	cmr|ECs4944|asap|ACA-0135056	putative DNA-binding protein [ECs4944]
	FALSE	rplB	50S ribosomal subunit protein L2	cmr|b3317|asap|ABE-0010854	50S ribosomal subunit protein L2 [b3317]
	FALSE	bcr	bicyclomycin/multidrug efflux system	cmr|Z3441|asap|ABH-0027159	bicyclomycin resistance protein transmembrane protein [Z3441]
cmr|c_1601|asap|ABR-0077712	FALSE			cmr|c_1601|asap|ABR-0077712	Hypothetical protein [c_1601]
	FALSE	tfaD	pseudo	cmr|b0561	orf, hypothetical protein [b0561]
	FALSE	lysC	aspartokinase III	cmr|b4024|asap|ABE-0013156	aspartokinase III, lysine sensitive [b4024]
cmr|c_1187|asap|ABR-0077282	FALSE			cmr|c_1187|asap|ABR-0077282	3-oxoacyl- [c_1187]
	FALSE	cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cmr|ECs2786|asap|ACA-0132786	nicotinate-nucleotide dimethylbenzimidazole-P phophoribosyl transferase [ECs2786]
cmr|c_3775|asap|ABR-0079946	FALSE			cmr|c_3775|asap|ABR-0079946	Putative iron compound receptor [c_3775]
	FALSE	rfaP	Lipopolysaccharide core biosynthesis protein rfaP	cmr|c_4454|asap|ABR-0080631	Lipopolysaccharide core biosynthesis protein rfaP [c_4454]
cmr|ECs1999|asap|ACA-0131967	FALSE			cmr|ECs1999|asap|ACA-0131967	hypothetical protein [ECs1999]
	FALSE	ybiW	predicted pyruvate formate lyase	cmr|b0823|asap|ABE-0002810	putative formate acetyltransferase [b0823]
cmr|b1354	FALSE			cmr|b1354	orf, hypothetical protein [b1354]
	FALSE	nanM	conserved protein	cmr|b4310|asap|ABE-0014132	orf, hypothetical protein [b4310]
--(+)E1A_r60_1	pos				
	FALSE	ECs4380	heme utilization/transport protein	cmr|ECs4380|asap|ACA-0134452	heme utilization/transport protein [ECs4380]
	FALSE	thiG	thiamin biosynthesis ThiGH complex subunit	cmr|b3991|asap|ABE-0013050	thiamin biosynthesis, thiazole moiety [b3991]
--RC5	pos				
	FALSE	gcvA	DNA-binding transcriptional activator GcvA	cmr|Z4125|asap|ABH-0027797	positive regulator of gcv operon [Z4125]
cmr|c_2454|asap|ABR-0078583	FALSE			cmr|c_2454|asap|ABR-0078583	Hypothetical protein [c_2454]
	FALSE	tdcF	predicted L-PSP (mRNA) endoribonuclease	cmr|b3113|asap|ABE-0010240	orf, hypothetical protein [b3113]
	FALSE	waaY	lipopolysaccharide core biosynthesis protein	cmr|Z5052|asap|ABH-0028697	putative LPS biosynthesis protein [Z5052]
cmr|c_0974|asap|ABR-0077065	FALSE			cmr|c_0974|asap|ABR-0077065	Putative phage tail protein [c_0974]
	FALSE	ECs0346	putative transporter	cmr|ECs0346	putative transporter [ECs0346]
	FALSE	narW	cryptic nitrate reductase 2, delta subunit, assembly function	cmr|Z2246|asap|ABH-0026020	cryptic nitrate reductase 2, delta subunit, assembly [Z2246]
	FALSE	ptrB	protease II	cmr|b1845|asap|ABE-0006133	protease II [b1845]
	FALSE	paaE	predicted multicomponent oxygenase/reductase subunit for phenylacetic acid degradation	cmr|b1392|asap|ABE-0004657	putative oxidoreductase [b1392]
	FALSE	ECs2273	hypothetical protein	cmr|ECs2273|asap|ACA-0132253	hypothetical protein [ECs2273]
cmr|c_5206|asap|ABR-0081415	FALSE			cmr|c_5206|asap|ABR-0081415	Hypothetical protein [c_5206]
	FALSE	ECs4758	regulator for metE and metH	cmr|ECs4758|asap|ACA-0134848	regulator for metE and metH [ECs4758]
	FALSE	qseC	QseC	cmr|Z4378|asap|ABH-0028050	putative 2-component sensor protein [Z4378]
cmr|ECs4942|asap|ACA-0135054	FALSE			cmr|ECs4942|asap|ACA-0135054	PTS system, sorbose-permease IID component [ECs4942]
	FALSE	yejH	predicted ATP-dependet helicase	cmr|b2184|asap|ABE-0007228	putative ATP-dependent helicase [b2184]
	FALSE	papI_2	PapI protein	cmr|c_5189|cmr|c_3593|asap|ABR-0079757|asap|ABR-0081398	PapI protein [c_5189]
	FALSE	slt	lytic murein transglycosylase, soluble	cmr|b4392|asap|ABE-0014404	soluble lytic murein transglycosylase [b4392]
cmr|c_4903|asap|ABR-0081101	FALSE			cmr|c_4903|asap|ABR-0081101	Hypothetical protein [c_4903]
	FALSE	ECs5109	hypothetical protein	cmr|ECs5109|asap|ACA-0135221	hypothetical protein [ECs5109]
	FALSE	fabH	3-oxoacyl-(acyl carrier protein) synthase III	cmr|c_1360|asap|ABR-0077464	3-oxoacyl- [c_1360]
	FALSE	narY	Respiratory nitrate reductase 2 beta chain	cmr|c_1899|asap|ABR-0078017	Respiratory nitrate reductase 2 beta chain [c_1899]
cmr|c_2415|asap|ABR-0078538	FALSE			cmr|c_2415|asap|ABR-0078538	Hypothetical protein [c_2415]
	FALSE	Z0020	hypothetical protein	cmr|Z0020|asap|ABH-0023928	orf Unknown function [Z0020]
	FALSE	ycaO	Hypothetical protein ycaO	cmr|c_1043|asap|ABR-0077135	Hypothetical protein ycaO [c_1043]
	FALSE	ECs3837	adenine DNA glycosylase	cmr|ECs3837|asap|ACA-0133880	adenine glycosylase [ECs3837]
	FALSE	bioC	predicted methltransferase, enzyme of biotin synthesis	cmr|b0777|asap|ABE-0002648	biotin biosynthesis; reaction prior to pimeloyl CoA [b0777]
	FALSE	ECs2171	putative minor tail protein	cmr|ECs2171|asap|ACA-0132141	putative minor tail protein [ECs2171]
	FALSE	ybiJ	predicted protein	cmr|b0802|asap|ABE-0002741	orf, hypothetical protein [b0802]
	FALSE	Z6010	hypothetical protein	cmr|Z6010|asap|ABH-0026295	orf, hypothetical protein [Z6010]
	FALSE	yjiJ	predicted inner membrane protein	cmr|b4332|asap|ABE-0014206	putative transport protein [b4332]
--(+)E1A_r60_a107	pos				
	FALSE	ygfJ	conserved protein	cmr|b2877|asap|ABE-0009447	orf, hypothetical protein [b2877]
	FALSE	ECs2003	hypothetical protein	cmr|ECs2003|asap|ACA-0131971	hypothetical protein [ECs2003]
	FALSE	etpH	type II secretion protein	asap|ABH-0244067	type II secretion protein [L7037]
	FALSE	ECs1610	excisionase	cmr|ECs1610|asap|ACA-0131559	excisionase [ECs1610]
cmr|c_2398|asap|ABR-0078521	FALSE			cmr|c_2398|asap|ABR-0078521	Hypothetical protein [c_2398]
	FALSE	secF	SecYEG protein translocase auxillary subunit	cmr|b0409|asap|ABE-0001419	protein secretion, membrane protein [b0409]
	FALSE	sbp	sulfate transporter subunit	cmr|b3917|asap|ABE-0012794	periplasmic sulfate-binding protein [b3917]
	FALSE	katP	EHEC-catalase/peroxidase	asap|ABH-0244036	bifunctional catalase/peroxidase [L7017]
cmr|c_2148|asap|ABR-0078267	FALSE			cmr|c_2148|asap|ABR-0078267	Succinylornithine transaminase [c_2148]
